arranged_timestamp,longitude,latitude,altimeter,mag_x,mag_y,mag_z,screen,microphone_l,microphone_r
2017-12-01T14:31:09Z,121.4376653,31.0278306,102.9229584,-34.89250183,1.40385437,30.40615845,40,-4.45761,-4.45761
2017-12-01T14:31:10Z,121.437671,31.02782863,102.9229431,-35.20449829,6.031494141,29.85571289,40,-2.102489,-2.102489
2017-12-01T14:31:11Z,121.4376747,31.02782988,102.9219513,-36.40437317,1.595916748,28.60925293,40,-8.144261,-8.144261
2017-12-01T14:31:12Z,121.437685,31.027829,102.921936,-35.57847595,0.288574219,29.60507202,40,-7.549005,-7.549005
2017-12-01T14:31:13Z,121.4376972,31.02782846,102.921936,-39.3261261,5.811401367,24.74542236,40,-2.173267,-2.173267
2017-12-01T14:31:14Z,121.4377074,31.02782787,102.9232941,-38.44891357,-4.323028564,25.76449585,40,-1.839832,-1.839832
2017-12-01T14:31:15Z,121.4377217,31.02782766,102.9248047,-35.62406921,-2.485900879,29.23669434,40,-15.21453,-15.21453
2017-12-01T14:31:16Z,121.4377368,31.02782796,102.9255142,-37.64120483,-20.49731445,19.79443359,40,-19.39725,-19.39725
2017-12-01T14:31:17Z,121.4377469,31.02782817,102.9257355,-40.95472717,-20.28375244,12.59472656,41,-17.99373,-17.99373
2017-12-01T14:31:18Z,121.4377545,31.02782745,102.9257355,-41.44673157,-18.87324524,13.17660522,46,-20.60063,-20.60063
2017-12-01T14:31:19Z,121.4377627,31.02782439,102.9252548,-38.99279785,-20.44529724,16.84643555,52,-20.04945,-20.04945
2017-12-01T14:31:20Z,121.4377696,31.02781937,102.9245834,-37.45056152,-26.47966003,10.91308594,57,-16.75533,-16.75533
2017-12-01T14:31:21Z,121.4377751,31.02781367,102.9245834,-38.95030212,-26.92247009,6.231048584,61,-20.099,-20.099
2017-12-01T14:31:22Z,121.4377801,31.02780704,102.9246368,-37.5259552,-28.69328308,6.219329834,61,-17.64722,-17.64722
2017-12-01T14:31:23Z,121.437784,31.02779954,102.9246368,-36.29756165,-29.63885498,8.492645264,61,-11.11076,-11.11076
2017-12-01T14:31:24Z,121.4377893,31.02779221,102.9245224,-38.15155029,-26.88793945,9.499664307,61,-19.43942,-19.43942
2017-12-01T14:31:25Z,121.4377943,31.02778496,102.9249268,-38.28884888,-24.37367249,12.55230713,61,-16.01964,-16.01964
2017-12-01T14:31:26Z,121.4377985,31.02777829,102.9251404,-38.10952759,-27.69746399,5.976409912,61,-15.46335,-15.46335
2017-12-01T14:31:27Z,121.4378041,31.02777096,102.9256287,-39.09338379,-24.40167236,10.68756104,61,-24.37981,-24.37981
2017-12-01T14:31:28Z,121.4378096,31.02776266,102.9263306,-37.00022888,-24.14181519,15.89590454,61,-12.58934,-12.58934
2017-12-01T14:31:29Z,121.4378133,31.02775629,102.9267883,-36.38072205,-25.94949341,13.37026978,61,-13.43397,-13.43397
2017-12-01T14:31:30Z,121.4378159,31.02775059,102.926796,-33.96749878,-29.84387207,11.99661255,61,-15.10581,-15.10581
2017-12-01T14:31:31Z,121.4378201,31.02774322,102.927124,-36.34178162,-28.4553833,10.30200195,61,-20.73909,-20.73909
2017-12-01T14:31:32Z,121.4378259,31.02773374,102.927124,-33.97138977,-31.51264954,7.890594482,61,-21.35663,-21.35663
2017-12-01T14:31:33Z,121.4378305,31.02772675,102.9277802,-37.07836914,-30.00016785,1.442810059,61,-20.59229,-20.59229
2017-12-01T14:31:34Z,121.4378337,31.02771853,102.9280701,-37.63000488,-28.68640137,5.312988281,61,-4.740302,-4.740302
2017-12-01T14:31:35Z,121.437837,31.0277086,102.9288406,-37.16130066,-19.26753235,20.92675781,61,-1.771836,-1.771836
2017-12-01T14:31:36Z,121.4378406,31.02769971,102.9292374,-36.15914917,-21.00042725,20.41091919,61,-17.71159,-17.71159
2017-12-01T14:31:37Z,121.437844,31.0276915,102.9297409,-37.46774292,-22.52877808,17.62088013,61,-11.46557,-11.46557
2017-12-01T14:31:38Z,121.4378491,31.02768303,102.9303513,-35.55360413,-25.68478394,16.05151367,61,-14.70178,-14.70178
2017-12-01T14:31:39Z,121.437853,31.02767515,102.9317703,-37.26806641,-23.12286377,16.43066406,61,-4.242346,-4.242346
2017-12-01T14:31:40Z,121.4378562,31.02766799,102.932312,-35.50866699,-25.35997009,16.83862305,61,-10.09831,-10.09831
2017-12-01T14:31:41Z,121.4378598,31.02766003,102.9331131,-35.44775391,-27.64805603,13.06015015,61,-5.715707,-5.715707
2017-12-01T14:31:42Z,121.4378629,31.0276537,102.9335785,-37.70066833,-22.22644043,16.6729126,61,-11.3448,-11.3448
2017-12-01T14:31:43Z,121.4378659,31.02764888,102.9340668,-39.09460449,-21.53959656,15.11471558,61,-16.91759,-16.91759
2017-12-01T14:31:44Z,121.4378698,31.02764171,102.9348526,-35.948349,-26.53007507,14.355896,61,-7.527971,-7.527971
2017-12-01T14:31:45Z,121.4378725,31.0276322,102.9356308,-38.50672913,-18.01948547,19.49798584,61,-13.65804,-13.65804
2017-12-01T14:31:46Z,121.437874,31.02762591,102.9363937,-42.21742249,-13.62232971,16.24526978,61,-13.31329,-13.31329
2017-12-01T14:31:47Z,121.4378771,31.02761879,102.9369965,-36.58525085,-27.3717041,10.25753784,61,-2.590987,-2.590987
2017-12-01T14:31:48Z,121.4378816,31.02761149,102.9372025,-36.83662415,-25.2633667,13.99325562,61,-13.73657,-13.73657
2017-12-01T14:31:49Z,121.4378852,31.02760709,102.9375839,-38.07666016,-23.4650116,14.14233398,61,-7.364375,-7.364375
2017-12-01T14:31:50Z,121.4378877,31.02760144,102.9380722,-38.38684082,-22.76112366,15.49313354,61,-6.011739,-6.011739
2017-12-01T14:31:51Z,121.4378912,31.0275944,102.9387741,-38.1537323,-19.8996582,18.04733276,61,-9.355412,-9.355412
